Id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
52,2551.2,12.693,10.677,0,0,157.76,115.95,0.39801,0.79602,2792,13.89,10.887,0,0,292.48,223.01,0.29851,0.49751,3126.2,15.553,10.01,0,0,134.43,274.69,0.199,0.49751,1
53,13880,69.055,10.819,0,0,3748.7,2125.1,0.199,0.49751,2647.7,13.173,12.35,0,0,440.63,436.7,0.39801,0.59701,98507,490.09,10.483,0,0,21224,10801,0.199,0.49751,2
54,6.83E+05,3397.9,8.5437,30.5,22,58517,14215,1.393,2.4876,1.22E+05,608.27,9.1539,13.5,20,13731,12616,0.59701,1.2935,7.17E+05,3564.7,11.255,23.333,15,44884,22235,0.59701,1.194,2
55,1.57E+05,779.8,9.2701,20,32,12205,7418.6,1.4925,2.4876,31544,156.94,7.9543,8,11,1420.1,1046.5,1.592,2.3881,3.19E+05,1587.2,9.6854,21,32,11799,19653,1.2935,1.592,2
56,87783,436.73,10.414,12,20,57682,7462.6,0.199,1.393,28061,139.61,9.6763,0,0,17010,2859.6,0.199,1.393,3.09E+05,1537.7,9.7516,15.5,8.4,1.22E+05,65473,0.199,0.39801,2
57,1.28E+05,636.91,10.098,7.5,6.5,2992.6,2535.8,1.2935,1.791,70479,350.64,9.239,0,7,6592.4,2463.2,1.592,2.4876,3.59E+05,1786.5,8.2481,27,52,16671,6854,1.2935,2.2886,2
58,3.12E+05,1553,8.0195,18.5,10,1.19E+05,35638,0.29851,0.69652,1.50E+05,743.9,8.8575,27,27,5737.1,5153.3,1.2935,1.4925,9.94E+05,4943.3,7.5545,28,11.143,26417,25947,1.2935,1.4925,2
59,35850,178.36,9.0518,0,0,1326.8,947.19,0.89552,1.2935,16162,80.408,9.7997,0,0,7908,966.28,0.39801,1.194,2.11E+05,1050.2,11.136,9.5,11.333,41420,36481,0.29851,0.49751,2
60,98525,490.17,7.4974,20,16,34634,9893.8,0.29851,0.79602,28477,141.68,6.9829,0,0,8059.6,1057.7,0.49751,1.2935,2.47E+05,1227.3,8.2572,14,10.5,11422,6298.2,0.89552,1.2935,2
61,32744,162.9,7.6468,0,0,3134.7,2411.3,0.49751,0.79602,10568,52.575,8.522,0,0,2098.9,505.29,0.39801,0.79602,2.82E+05,1402,6.7176,20,4,41458,28870,0.29851,0.59701,2
62,36909,183.63,10.048,0,0,10597,6922.1,0.199,0.39801,5613.5,27.928,10.64,0,0,1205.4,691.99,0.29851,0.59701,2.12E+05,1055.1,8.0693,11,3.25,43457,26524,0.29851,0.59701,2
63,48801,242.79,10.826,0,0,9352.5,5733.5,0.39801,0.69652,12540,62.387,10.298,0,0,2170.2,1358,0.39801,0.69652,2.72E+05,1351.5,8.8721,7.6667,11.333,57123,28232,0.39801,0.69652,2
64,39436,196.2,8.2852,0,0,15688,6158.7,0.199,0.49751,9522.6,47.376,9.8164,0,0,2459.2,1819.2,0.199,0.49751,2.67E+05,1330.5,8.1787,4.5,8.6,64803,56091,0.199,0.49751,2
65,71542,355.93,9.0355,0,0,14018,3558.7,0.49751,0.89552,14931,74.285,8.0053,0,0,1326.9,854.45,1.4925,2.4876,3.33E+05,1656.6,8.526,13,6.75,55564,12921,0.49751,0.89552,2
66,2853.3,14.195,12.179,0,0,305.49,104.34,0.59701,0.79602,4046.9,20.134,14.278,0,0,275.57,525.11,0.49751,0.69652,15019,74.72,9.8831,0,0,1842.5,2016.5,0.39801,0.59701,2
67,17635,87.734,9.1195,0,0,4608.5,4486.7,0.39801,0.59701,61775,307.34,8.5859,7,18,14072,6249.8,0.59701,1.393,34650,172.39,8.2093,0,0,17606,5317.9,0.199,0.59701,2
68,4077,20.284,9.2802,0,0,917.53,635.42,0.29851,0.59701,51686,257.15,9.5512,19,20,7643,3498.1,1.393,2.4876,28626,142.42,7.7545,0,0,1062.3,1004.7,1.2935,1.4925,2
69,6405.3,31.867,7.2097,0,0,259.44,150.18,1.2935,1.791,14060,69.95,9.0529,0,0,4740.7,2972.9,0.199,0.49751,37148,184.82,12.458,0,0,15814,7931.9,0.199,0.39801,2
70,12158,60.488,10.215,0,0,2303.7,500.96,0.59701,1.194,37193,185.04,8.7717,0,0,11622,3974.3,0.49751,1.592,44471,221.25,9.401,1,0,3765.4,1701.1,1.4925,2.4876,2
71,17733,88.224,10.52,0,0,383.1,918.4,1.0945,1.393,61740,307.16,8.0173,7.5,5,515.2,3606.7,1.0945,1.393,73941,367.87,7.5708,19,4,3764,2446.7,1.4925,1.791,2
72,4999.9,24.875,9.2353,0,0,2289.5,499.92,0.39801,1.2935,11350,56.47,9.0104,0,0,5241.5,1264.2,0.39801,0.79602,21953,109.22,9.8012,0,0,4197.3,6075.1,0.29851,0.49751,2
73,7044,35.045,10.163,0,0,1401.9,314.16,0.59701,1.393,17359,86.363,7.555,0,0,4084.6,1170.5,0.29851,0.89552,28366,141.12,8.9353,0,0,7716,4204.3,0.39801,0.69652,2
74,2918.2,14.518,10.1,0,0,478.83,140.33,0.29851,0.69652,6048.5,30.092,10.98,0,0,758.77,578.13,0.29851,0.59701,33116,164.76,9.3212,0,0,1504.2,523.83,0.59701,0.79602,2
75,2346,11.672,9.8457,0,0,326.3,309.38,0.29851,0.59701,6879.3,34.225,7.7251,0,0,1439.2,952.06,0.29851,0.49751,38370,190.9,10.492,0,0,6395.9,5269.2,0.29851,0.49751,2
76,4520.8,22.491,9.0575,0,0,1124.8,645.04,0.29851,0.59701,12330,61.343,9.9744,0,0,3148.1,2440.3,0.199,0.39801,43207,214.96,10.867,0,0,7490.8,5287,0.199,0.39801,2
77,3686.2,18.339,10.389,0,0,729.97,607.24,0.199,0.49751,10431,51.897,11.304,0,0,3452.2,2085.7,0.199,0.39801,19496,96.996,8.1304,0,0,3835.5,2604.3,0.199,0.49751,2
78,3997.5,19.888,11.681,0,0,539.2,181.77,0.39801,0.89552,13482,67.072,9.0884,0,0,3037.4,308.27,0.49751,0.89552,52718,262.28,9.1963,0,0,6656.7,6864.3,0.39801,0.59701,2
79,7.14E+06,35523,8.776,21.25,29.5,3.34E+06,1.57E+06,0.29851,0.59701,2.18E+06,10865,9.2201,19.25,25,1.05E+06,6.00E+05,0.29851,0.59701,8.19E+06,40728,9.8458,17.4,25,2.05E+06,1.15E+06,0.29851,0.49751,3
80,4.29E+06,21333,6.087,21.5,49.5,3.25E+06,1.91E+06,0.199,0.39801,1.91E+06,9511.8,5.9236,22.5,37,1.59E+06,1.01E+06,0.199,0.39801,5.56E+06,27680,7.7802,29.5,39,3.53E+06,4.50E+05,0.199,0.79602,3
81,3.95E+06,19641,7.7962,19.333,17.833,2.16E+06,1.11E+06,0.199,0.49751,2.30E+06,11466,7.3923,18.667,22,1.48E+06,8.81E+05,0.199,0.49751,7.64E+06,38015,7.1983,29,69,3.69E+06,1.65E+06,0.199,0.49751,3
82,3.40E+06,16933,7.4709,23.333,41.667,2.11E+06,7.62E+05,0.29851,0.59701,1.83E+06,9121.6,7.3831,23,33.667,1.28E+06,4.92E+05,0.29851,0.59701,8.76E+06,43587,8.2388,28.333,30.5,4.21E+06,1.17E+06,0.29851,0.59701,3
83,7.78E+05,3872.9,5.757,24,41,11361,33500,1.0945,1.6915,5.07E+05,2524,6.2774,24,30,26320,1940.7,1.393,2.0896,1.84E+06,9167.5,5.6211,30,52,55957,19892,1.6915,2.2886,3
84,1.81E+06,8983.4,8.698,22,51,1.73E+05,82376,1.2935,2.3881,9.79E+05,4869.9,5.9981,24,32,61021,34733,1.393,2.3881,1.83E+06,9116.3,5.7505,27,21.667,75885,44806,1.2935,2.6866,3
85,4.51E+06,22460,9.1211,25.5,26.667,2.67E+06,8.82E+05,0.39801,0.69652,1.26E+06,6276,7.7918,24.5,34.5,7.04E+05,1.62E+05,0.39801,0.69652,7.10E+06,35299,7.558,33.5,33.333,3.49E+06,1.81E+05,0.29851,0.69652,3
86,1.98E+06,9841,5.6962,23,47,2.33E+05,82648,1.393,2.3881,1.27E+06,6328.1,5.8549,24,38,91462,12921,1.393,2.2886,3.64E+06,18113,5.4848,31,35,1.21E+05,82690,1.6915,2.2886,3
87,2.20E+06,10941,7.8787,21.5,15.6,46737,46798,1.194,1.393,1.55E+06,7729.6,8.0623,26,24,86161,41058,1.2935,2.4876,4.69E+06,23344,7.7834,30,45,1.78E+05,21205,1.393,2.0896,3
88,2.02E+06,10030,7.4563,26,48,93576,76722,1.2935,2.6866,1.45E+06,7227.8,6.7768,23,23,1.39E+05,49906,1.393,2.3881,3.20E+06,15908,6.0023,29,78,1.35E+05,74448,1.4925,2.5871,3
89,1.53E+06,7589.8,8.9284,23,35,1.84E+05,1.06E+05,1.4925,2.4876,5.05E+05,2513,8.5746,23,25,48443,11966,1.2935,2.5871,1.91E+06,9493.1,10.132,28,42,96023,65022,1.4925,2.4876,3
90,2.36E+06,11746,7.2794,25,41,1.81E+05,28347,1.2935,2.3881,6.44E+05,3203.8,7.6565,24,35,74816,18441,1.393,2.3881,3.04E+06,15123,7.0896,29,19.75,1.38E+05,99487,1.2935,2.3881,3
91,1.75E+06,8729.4,8.3253,26,50,40665,25740,1.2935,1.791,8.09E+05,4024.3,7.8412,26,35,56031,18647,1.4925,2.5871,3.79E+06,18861,9.6462,16.667,29,1.57E+05,40412,1.4925,2.3881,3
92,3.86E+06,19223,7.1239,35,43.5,2.21E+06,7.16E+05,0.29851,0.49751,2.58E+06,12842,6.813,30.667,41.5,1.38E+06,5.76E+05,0.29851,0.49751,9.33E+06,46404,8.3349,39,28,4.37E+06,1.23E+06,0.199,0.49751,3
93,1.71E+06,8517.8,10.213,17.333,23,3.49E+05,5.87E+05,0.29851,0.59701,1.19E+06,5917.8,9.9386,18,19.667,2.43E+05,4.81E+05,0.29851,0.59701,3.05E+06,15198,11.318,8.3333,22.25,4.75E+05,1.30E+05,0.49751,0.79602,3
94,6.60E+05,3284.5,11.673,22,41,61064,23540,1.4925,2.5871,4.30E+05,2138.7,7.4703,21,30,39024,19606,1.4925,2.3881,1.50E+06,7456.4,8.6338,26,45,87756,62075,1.393,2.4876,3
